Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,What is the normal heart rate?,60-100 bpm,40-60 bpm,100-120 bpm,120-140 bpm,A
2,Which organ produces insulin?,Liver,Pancreas,Kidney,Spleen,B
3,Which vitamin helps in blood clotting?,Vitamin C,Vitamin K,Vitamin A,Vitamin D,B
4,What is the main function of the heart?,To pump blood,To digest food,To transport air,To filter waste,A
5,Which organ filters blood?,Heart,Kidneys,Lungs,Liver,B
6,What is the largest internal organ in the body?,Liver,Heart,Lungs,Stomach,A
7,Which blood type is a universal donor?,O negative,A positive,B negative,AB positive,A
8,Which organ is responsible for producing bile?,Pancreas,Liver,Gallbladder,Kidney,B
9,What is the main organ of the respiratory system?,Lungs,Heart,Brain,Stomach,A
10,Which part of the brain controls coordination and balance?,Cerebrum,Cerebellum,Brainstem,Thalamus,B
11,Which part of the body contains the smallest bones?,Ear,Nose,Mouth,Eye,A
12,What is the main function of white blood cells?,Fight infection,Carry oxygen,Form clots,Store energy,A
13,Which gas do we exhale?,Oxygen,Carbon dioxide,Nitrogen,Helium,B
14,Which organ is responsible for pumping blood?,Brain,Heart,Lungs,Kidney,B
15,Which vitamin is made by the skin when exposed to sunlight?,Vitamin D,Vitamin A,Vitamin B12,Vitamin C,A
16,Which organ helps in digestion of fats?,Liver,Gallbladder,Stomach,Pancreas,B
17,What is the normal body temperature in Celsius?,36°C,37°C,39°C,35°C,B
18,Which system controls voluntary movement?,Digestive system,Nervous system,Muscular system,Skeletal system,B
19,Which organ stores urine?,Kidney,Bladder,Liver,Pancreas,B
20,What is the function of red blood cells?,Fight infection,Carry oxygen,Produce energy,Digest food,B
