Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer
1,What is the normal heart rate for adults?,60-100 bpm,40-60 bpm,100-120 bpm,120-140 bpm,,A
2,Which organ produces insulin?,Liver,Pancreas,Kidney,Spleen,Heart,B
3,What is the largest bone in the human body?,Femur,Tibia,Humerus,Radius,,A
4,How many chambers does the human heart have?,2,3,4,5,6,C
5,What is the normal body temperature in Celsius?,36.5-37.5,35-36,38-39,37-38,,A
6,Which blood type is the universal donor?,A+,B+,O-,AB+,,C
7,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,Lysosome,B
8,How many bones are in the adult human body?,206,208,210,212,,A
9,What is the largest organ in the human body?,Heart,Liver,Skin,Brain,Lungs,C
10,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,C
